Date,Organization,Region,Product_Category,Product_Name,Units_Sold,Revenue,Cost,Profit,Inventory_Level,Promotion,Holiday
2025-08-02,Global Mart,Central,Fashion,Laptop,88,354288,249958.12,104329.88,2198,Yes,Yes
2023-03-28,Global Mart,North,Appliances,Rice 10kg,52,184912,105700.38,79211.62,4377,No,No
2024-03-11,Global Mart,South,Appliances,T-Shirt,408,1079568,653741.76,425826.24,2087,No,No
2025-09-18,ABC Retail,North,Furniture,Dining Table,377,1278407,1047872.18,230534.82,3043,Yes,No
2025-04-15,XYZ Stores,South,Furniture,T-Shirt,87,151380,112501.27,38878.73,3797,Yes,No
2024-01-09,Future Bazaar,South,Grocery,Table,278,504848,417049.46,87798.54,4928,Yes,No
2024-05-02,Future Bazaar,Central,Fashion,Office Chair,324,1230228,1024684.89,205543.11,735,Yes,No
2023-05-02,ABC Retail,South,Appliances,Air Conditioner,41,5658,4548.77,1109.23,2758,No,No
2023-08-26,Global Mart,East,Electronics,Printer,144,699552,522459.4,177092.6,3918,No,No
2023-08-01,Global Mart,West,Appliances,Printer,472,180304,151372.23,28931.77,3804,No,No
2024-05-29,Prime Wholesale,West,Electronics,T-Shirt,200,350600,252259.01,98340.99,411,No,No
2024-05-29,Global Mart,North,Furniture,T-Shirt,458,895390,707377.16,188012.84,4017,No,No
2025-12-25,Future Bazaar,West,Furniture,Table,434,980406,769753.55,210652.45,363,Yes,No
2025-11-03,Future Bazaar,East,Grocery,Dining Table,130,466570,362806.19,103763.81,3945,No,No
2025-11-09,Prime Wholesale,Central,Appliances,Table,403,448539,326497.5,122041.5,2135,Yes,No
2025-07-29,Future Bazaar,Central,Grocery,Keyboard,29,70180,50983.01,19196.99,4481,Yes,No
2025-02-04,Global Mart,West,Fashion,Office Chair,33,8613,6285.86,2327.14,3938,No,No
2024-10-25,Prime Wholesale,West,Grocery,Air Conditioner,118,75638,63883.16,11754.84,4885,Yes,No
2024-04-25,Global Mart,West,Grocery,Dining Table,155,144150,88822.86,55327.14,1069,Yes,No
2023-07-17,Global Mart,West,Grocery,Monitor,269,204171,160416.23,43754.77,4747,No,No
2023-05-18,Prime Wholesale,North,Grocery,Air Conditioner,59,223964,162540.32,61423.68,2660,No,No
2025-07-10,XYZ Stores,Central,Fashion,Printer,78,164034,129716.94,34317.06,1675,Yes,No
2025-10-06,Future Bazaar,North,Fashion,Refrigerator,428,2069808,1622861.77,446946.23,4333,No,No
2025-09-11,Future Bazaar,East,Fashion,Sofa,45,68895,39071.49,29823.51,681,No,No
2023-07-24,Global Mart,West,Furniture,Table,79,74260,51705.11,22554.89,924,Yes,No
2025-12-29,Global Mart,West,Appliances,Table,136,206992,115200.78,91791.22,3787,No,No
2023-06-14,XYZ Stores,Central,Electronics,Office Chair,323,1211896,904380.27,307515.73,420,No,No
2024-03-20,XYZ Stores,North,Electronics,Laptop,434,2093616,1293006.94,800609.06,1737,Yes,No
2025-08-11,XYZ Stores,South,Electronics,Table,52,195988,140063.14,55924.86,4998,Yes,No
2025-12-16,Global Mart,Central,Fashion,Keyboard,75,14775,11947.01,2827.99,4716,No,Yes
2024-07-14,Future Bazaar,South,Fashion,Sofa,457,995803,624952.27,370850.73,2841,No,No
2024-08-26,Future Bazaar,South,Electronics,Dining Table,279,878292,630661.68,247630.32,2163,Yes,No
2025-12-03,Future Bazaar,North,Grocery,Smartphone,106,177762,124316.74,53445.26,4452,Yes,No
2023-01-08,Future Bazaar,Central,Appliances,Keyboard,417,1107135,872263.31,234871.69,4704,Yes,No
2024-07-07,XYZ Stores,East,Appliances,Office Chair,325,1515475,1087120.02,428354.98,332,Yes,No
2025-07-17,Prime Wholesale,West,Grocery,T-Shirt,229,755700,423203.4,332496.6,2357,No,No
2024-06-27,Prime Wholesale,Central,Appliances,Sofa,146,592468,497754.87,94713.13,4414,No,No
2023-09-04,Future Bazaar,North,Fashion,Smartphone,137,227420,131428.1,95991.9,3119,No,No
2023-09-22,Global Mart,West,Fashion,Mouse,381,1393317,992373.49,400943.51,3040,No,No
2025-09-08,XYZ Stores,Central,Fashion,Keyboard,140,96180,62571.09,33608.91,1291,Yes,No
2024-06-29,ABC Retail,North,Appliances,Refrigerator,50,226650,175573.95,51076.05,1724,No,No
2023-10-16,XYZ Stores,East,Fashion,Dining Table,221,671840,505796.94,166043.06,2008,Yes,No
2023-01-01,Global Mart,West,Furniture,Mouse,465,1827450,1158206.43,669243.57,4678,Yes,No
2024-04-04,Future Bazaar,Central,Furniture,Office Chair,410,1945860,1541546.89,404313.11,3858,No,Yes
2025-06-06,Prime Wholesale,East,Grocery,Sofa,55,148335,91673.87,56661.13,3967,No,Yes
2024-02-28,ABC Retail,East,Grocery,Office Chair,353,1576145,1300986.28,275158.72,1499,No,No
2023-06-22,Global Mart,West,Electronics,Refrigerator,336,1306704,1003550.37,303153.63,4932,No,No
2025-07-22,ABC Retail,North,Fashion,Mouse,446,1259058,728944.65,530113.35,4966,Yes,No
2023-08-10,XYZ Stores,North,Appliances,Sofa,50,8350,6789.98,1560.02,4058,No,No
2025-11-05,Future Bazaar,East,Grocery,Sofa,486,575910,454032.17,121877.83,1635,No,No
2025-10-09,Global Mart,North,Furniture,Keyboard,210,759360,425084.95,334275.05,2577,No,No
2023-11-28,ABC Retail,East,Furniture,Rice 10kg,447,1680273,1158262.54,522010.46,455,No,No
2024-05-19,Future Bazaar,West,Fashion,Printer,166,726084,451065.19,275018.81,628,No,No
2023-12-13,ABC Retail,South,Electronics,Air Conditioner,448,847616,534580.97,313035.03,4925,No,No
2023-12-28,ABC Retail,East,Grocery,Air Conditioner,458,2123288,1378871.94,744416.06,4846,Yes,Yes
2024-07-08,Prime Wholesale,North,Furniture,Washing Machine,413,1981161,1364733.82,616427.18,2479,Yes,No
2025-03-27,Global Mart,North,Appliances,Washing Machine,50,47750,33877.66,13872.34,1567,No,No
2023-01-01,Prime Wholesale,Central,Appliances,Refrigerator,177,671007,515976.26,155030.74,3361,Yes,No
2025-09-14,Prime Wholesale,North,Fashion,Smartphone,259,1221185,987772.77,233412.23,4083,No,No
2024-02-24,Future Bazaar,North,Electronics,Refrigerator,91,170534,115227.15,55306.85,3499,No,No
2025-08-16,Global Mart,East,Appliances,Table,294,1264200,940482.66,323717.34,959,No,No
2025-02-09,XYZ Stores,Central,Grocery,Sofa,93,241893,141789.82,100103.18,4058,No,No
2025-09-12,ABC Retail,North,Fashion,T-Shirt,366,488976,387467.9,101508.1,1180,No,No
2024-01-10,Future Bazaar,West,Furniture,Office Chair,82,337840,273151.33,64688.67,2292,No,No
2025-12-22,XYZ Stores,East,Electronics,Printer,32,14688,11998.56,2689.44,1685,No,No
2024-03-15,Prime Wholesale,North,Electronics,Dining Table,165,508200,377959.6,130240.4,3269,No,No
2025-07-02,Global Mart,East,Electronics,Laptop,485,747870,487746.79,260123.21,1879,No,No
2025-04-12,Global Mart,East,Grocery,Air Conditioner,40,80000,67328.61,12671.39,1228,Yes,No
2023-09-19,XYZ Stores,Central,Furniture,Air Conditioner,324,327240,227875.33,99364.67,173,No,No
2025-02-24,Global Mart,West,Electronics,Air Conditioner,210,528360,304578.68,223781.32,3857,No,No
2023-11-01,Prime Wholesale,East,Grocery,Office Chair,406,1145326,687769.51,457556.49,1427,Yes,No
2023-12-07,Future Bazaar,East,Fashion,Office Chair,439,211598,133534.06,78063.94,3506,No,No
2024-04-27,Future Bazaar,East,Appliances,Laptop,406,501004,398311.75,102692.25,3220,No,No
2025-01-31,Future Bazaar,Central,Electronics,T-Shirt,284,1238240,952510.43,285729.57,2261,No,No
2023-09-24,Prime Wholesale,East,Fashion,T-Shirt,319,576752,396540.03,180211.97,1026,No,No
2025-10-14,Future Bazaar,West,Fashion,Printer,21,20622,14204.49,6417.51,4840,No,No
2024-02-11,ABC Retail,East,Furniture,Laptop,408,834768,587161.32,247606.68,3852,No,No
2025-02-10,ABC Retail,West,Appliances,Laptop,400,185600,128610.59,56989.41,2434,No,No
2023-05-27,Prime Wholesale,South,Appliances,Printer,72,186480,104286.52,82193.48,4828,No,No
